pdf,page,index,source,side_pt,native_width,native_height,trimmed,detector_score,texture,x0,y0,x1,y1
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,530,0,embedded,153.6,1280,1264,True,1.0,0.8384,43.21,298.55,196.81,450.23
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,536,0,embedded,154.56,1288,1264,True,1.0,0.9737,40.33,182.4,194.89,334.08
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,536,1,embedded,153.6,1280,1264,True,1.0,0.9305,41.28,393.6,194.88,545.28
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,536,2,embedded,154.56,1288,1264,True,1.0,0.9076,241.93,182.4,396.49,334.08
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,536,3,embedded,154.56,1288,1264,True,1.0,0.8841,241.93,393.6,396.49,545.28
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,542,0,embedded,154.56,1288,1264,True,1.0,0.9122,42.25,305.27,196.81,456.95
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,542,1,embedded,154.56,1288,1264,True,1.0,0.8605,243.85,355.2,398.41,506.88
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,547,0,embedded,153.6,1280,1264,True,1.0,0.8183,45.13,370.56,198.73,522.24
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,553,0,embedded,153.6,1280,1264,True,1.0,0.8451,43.21,196.8,196.81,348.48
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,553,1,embedded,154.56,1288,1264,True,1.0,0.8417,242.89,155.51,397.45,307.19
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,559,0,embedded,154.56,1288,1264,True,1.0,0.7974,242.89,50.87,397.45,202.55
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,565,0,embedded,153.6,1280,1264,True,1.0,0.8654,242.89,154.56,396.49,306.24
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,571,0,embedded,154.56,1288,1264,True,1.0,0.8461,243.85,272.63,398.41,424.31
